maker,product_name,url,form,moisture_pct,protein_asfed,protein_dm,fat_dm,phosphorus_asfed,phosphorus_dm,calorie_density_100g,calorie_basis,is_therapeutic,phosphorus_disclosed,fetched_at
いなばペットフード株式会社,CIAO だしスープ このままだしスープ ささみ かにかま・かつお節入り,https://www.inaba-petfood.co.jp/product/detail/CIAO+%E3%82%AB%E3%83%83%E3%83%97/3013,ウェット,93.0,5.0,71.4,1.4,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,CIAO ちゅ～ぶ 水分補給 まぐろ,https://www.inaba-petfood.co.jp/product/detail/CIAO+%E3%81%A1%E3%82%85%E3%80%9C%E3%81%B6/7100,ウェット,92.0,6.0,75.0,3.8,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,CIAO ちゅ～ぶ 総合栄養食 とりささみ,https://www.inaba-petfood.co.jp/product/detail/CIAO+%E3%81%A1%E3%82%85%E3%80%9C%E3%81%B6/6607,ウェット,85.0,7.0,46.7,25.3,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,CIAO ちゅ～ぶ 総合栄養食 まぐろ,https://www.inaba-petfood.co.jp/product/detail/CIAO+%E3%81%A1%E3%82%85%E3%80%9C%E3%81%B6/6606,ウェット,85.0,7.0,46.7,25.3,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,CIAO ちゅ～ぶ 毛玉配慮 まぐろ,https://www.inaba-petfood.co.jp/product/detail/CIAO+%E3%81%A1%E3%82%85%E3%80%9C%E3%81%B6/6491,ウェット,90.0,7.5,75.0,2.0,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,マルウオ Big かつお・まぐろ ほたて味,https://www.inaba-petfood.co.jp/product/detail/BIg%E3%83%9E%E3%83%AB%E3%82%A6%E3%82%AA/10939,ウェット,88.0,8.0,66.7,4.2,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,マルウオ Big かつお・まぐろ かつお節入り,https://www.inaba-petfood.co.jp/product/detail/BIg%E3%83%9E%E3%83%AB%E3%82%A6%E3%82%AA/10938,ウェット,88.0,8.0,66.7,4.2,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,マルウオ Big かつお・まぐろ ささみ入り,https://www.inaba-petfood.co.jp/product/detail/BIg%E3%83%9E%E3%83%AB%E3%82%A6%E3%82%AA/10937,ウェット,88.0,8.0,66.7,4.2,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,マルウオ Big かつお・まぐろ しらす入り,https://www.inaba-petfood.co.jp/product/detail/BIg%E3%83%9E%E3%83%AB%E3%82%A6%E3%82%AA/10936,ウェット,88.0,8.0,66.7,4.2,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,マルウオ Big かつお・まぐろ,https://www.inaba-petfood.co.jp/product/detail/BIg%E3%83%9E%E3%83%AB%E3%82%A6%E3%82%AA/10935,ウェット,88.0,8.0,66.7,4.2,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,CIAO クランキー まぐろ・チキン味,https://www.inaba-petfood.co.jp/product/detail/CIAO%E3%82%AF%E3%83%A9%E3%83%B3%E3%82%AD%E3%83%BC/10258,ドライ,10.0,26.0,28.9,10.0,0.84%,0.9,350.0,per_100g,False,yes,2026-06-22
いなばペットフード株式会社,猫用　動物病院専用ちゅ～る CIAO エネルギーちゅ～る まぐろ 50本入り,https://www.inaba-petfood.co.jp/product/detail/%E7%8C%AB%E7%94%A8%E3%80%80%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2%E5%B0%82%E7%94%A8%E3%81%A1%E3%82%85%EF%BD%9E%E3%82%8B/10934,ウェット,84.0,9.0,56.2,23.8,0.26%,1.6,,per_piece,True,yes,2026-06-22
いなばペットフード株式会社,猫用　動物病院専用ちゅ～る CIAO エネルギーちゅ～る とりささみ 50本入り,https://www.inaba-petfood.co.jp/product/detail/%E7%8C%AB%E7%94%A8%E3%80%80%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2%E5%B0%82%E7%94%A8%E3%81%A1%E3%82%85%EF%BD%9E%E3%82%8B/10933,ウェット,84.0,9.0,56.2,23.8,0.28%,1.8,,per_piece,True,yes,2026-06-22
いなばペットフード株式会社,猫用　動物病院専用ちゅ～る CIAO エネルギーちゅ～る 低リン低ナトリウム まぐろ,https://www.inaba-petfood.co.jp/product/detail/%E7%8C%AB%E7%94%A8%E3%80%80%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2%E5%B0%82%E7%94%A8%E3%81%A1%E3%82%85%EF%BD%9E%E3%82%8B/10930,ウェット,86.0,9.0,64.3,27.1,0.14%,1.0,,per_piece,True,yes,2026-06-22
いなばペットフード株式会社,猫用　動物病院専用ちゅ～る CIAO エネルギーちゅ～る ｐHコントロール まぐろ,https://www.inaba-petfood.co.jp/product/detail/%E7%8C%AB%E7%94%A8%E3%80%80%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2%E5%B0%82%E7%94%A8%E3%81%A1%E3%82%85%EF%BD%9E%E3%82%8B/10929,ウェット,86.0,9.0,64.3,27.1,0.14%,1.0,,per_piece,True,yes,2026-06-22
いなばペットフード株式会社,CIAO ちゅ～る まぐろ ほたて味 10本入り,https://www.inaba-petfood.co.jp/product/detail/CIAO+%E3%81%A1%E3%82%85%EF%BD%9E%E3%82%8B/4201,ウェット,91.0,7.0,77.8,2.2,,,,per_piece,False,no,2026-06-22
